Date,MonS3bed
03-01,400
04-01,400
05-01,400
06-01,400
07-01,400
08-01,550
09-01,550
10-01,550
11-01,550
12-01,550
13-01,550
14-01,550
15-01,550
16-01,550
17-01,550
25-01,500
26-01,500
27-01,500
28-01,500
29-01,500
30-01,500
31-01,500
01-02,500
02-02,500
03-02,500
04-02,500
05-02,500
06-02,500
07-02,500
08-02,500
09-02,500
11-02,500
12-02,500
13-02,500
14-02,500
15-02,500
16-02,500
17-02,500
18-02,500
19-02,500
20-02,500
21-02,500
22-02,500
23-02,500
24-02,500
25-02,500
26-02,500
27-02,500
28-02,500
01-03,500
02-03,500
03-03,500
04-03,500
05-03,500
06-03,500
07-03,500
08-03,500
10-03,500
11-03,500
12-03,500
13-03,500
14-03,500
15-03,500
17-03,500
18-03,500
19-03,500
20-03,500
21-03,500
22-03,500
23-03,600
24-03,600
25-03,600
26-03,600
06-04,600
07-04,600
08-04,750
09-04,750
10-04,600
11-04,600
12-04,600
13-04,600
14-04,600
15-04,600
16-04,600
17-04,600
18-04,600
24-04,600
25-04,600
26-04,600
27-04,600
28-04,600
29-04,600
30-04,600
01-05,700
02-05,700
03-05,700
04-05,700
05-05,700
06-05,700
07-05,700
08-05,700
19-05,700
20-05,700
21-05,700
22-05,700
23-05,700
24-05,700
25-05,700
26-05,700
27-05,700
28-05,700
29-05,700
30-05,700
31-05,700
01-06,750
02-06,750
03-06,750
04-06,750
05-06,750
06-06,750
07-06,750
08-06,750
09-06,750
10-06,750
11-06,750
12-06,750
13-06,750
14-06,750
15-06,750
16-06,750
17-06,750
18-06,750
19-06,750
20-06,900
21-06,900
22-06,900
23-06,900
24-06,900
25-06,900
26-06,900
27-06,900
28-06,900
29-06,900
30-06,900
01-07,900
02-07,900
03-07,900
04-07,900
05-07,900
06-07,900
07-07,900
08-07,900
09-07,900
10-07,900
11-07,900
12-07,900
13-07,900
14-07,900
15-07,900
16-07,900
17-07,900
18-07,900
19-07,900
20-07,900
21-07,900
22-07,900
23-07,900
24-07,900
25-07,900
26-07,900
27-07,900
28-07,900
29-07,900
30-07,900
31-07,900
01-08,900
02-08,900
03-08,900
04-08,900
05-08,900
06-08,900
07-08,900
08-08,900
09-08,900
10-08,900
11-08,900
12-08,900
13-08,900
14-08,900
15-08,900
16-08,900
17-08,900
18-08,900
19-08,900
20-08,900
21-08,900
22-08,900
23-08,900
24-08,900
25-08,900
26-08,900
27-08,900
28-08,900
29-08,900
30-08,900
31-08,900
01-09,900
02-09,900
03-09,900
04-09,900
05-09,900
06-09,900
07-09,900
08-09,900
09-09,900
10-09,900
